Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
1-T-R_unscaled,1-T-R_unsmooth,DA,DA_1stderiv,DA_2ndderiv,DA_unscaled,E,IA,IA_1stderiv,IA_2ndderiv,IA_unscaled,TR,TR_unscaled,TR_unsmooth,abs,abs_1stderiv,abs_2ndderiv,abs_unscaled,abs_unsmooth,av-raw_refl,av-raw_trans,dark_refl,dark_trans,fitdata-DA,fitdata-IA,rawselectinds,ref_refl,ref_trans,refl_unsmooth,trans_unsmooth
0.004,0.002,0.006,0,0,0.042,1.624,0.275,0.003,0,0.452,0.882,0.995,0.998,0.141,0.374,2.127,0.126,0.002,1.144,2.298,1.024,0.966,0.006,0.278,0,2.858,2.394,0.065,0.933
0.007,0.005,0.006,0,0,0.044,1.63,0.278,0.003,0,0.457,0.88,0.993,0.994,0.144,0.382,1.941,0.128,0.006,1.145,2.306,1.024,0.966,0.007,0.281,0,2.819,2.412,0.068,0.927
0.009,0.01,0.006,0,0,0.046,1.637,0.282,0.003,0,0.462,0.877,0.99,0.989,0.146,0.39,1.703,0.131,0.011,1.149,2.358,1.032,0.966,0.007,0.283,0,2.88,2.469,0.064,0.926
0.012,0.013,0.007,0,0,0.048,1.643,0.285,0.003,0,0.468,0.875,0.988,0.987,0.149,0.396,1.443,0.133,0.014,1.157,2.423,1.034,0.966,0.007,0.286,0,3.015,2.54,0.062,0.925
0.014,0.013,0.007,0,0,0.05,1.65,0.289,0.003,0,0.474,0.873,0.985,0.986,0.152,0.402,1.148,0.136,0.014,1.167,2.483,1.027,0.966,0.007,0.288,0,3.088,2.616,0.068,0.919
0.016,0.018,0.007,0,0,0.052,1.656,0.291,0.003,0,0.478,0.871,0.983,0.981,0.155,0.407,0.832,0.138,0.019,1.179,2.559,1.03,0.967,0.008,0.291,0,3.216,2.708,0.068,0.914
0.018,0.023,0.008,0,0,0.055,1.663,0.295,0.003,0,0.483,0.869,0.98,0.975,0.157,0.41,0.534,0.141,0.025,1.182,2.615,1.03,0.966,0.008,0.294,0,3.31,2.778,0.067,0.91
0.021,0.017,0.008,0,0,0.057,1.669,0.298,0.003,0,0.489,0.867,0.978,0.981,0.16,0.412,0.258,0.143,0.019,1.188,2.585,1.027,0.966,0.008,0.297,0,3.336,2.74,0.07,0.913
0.023,0.02,0.008,0,0,0.059,1.676,0.301,0.003,0,0.494,0.865,0.976,0.978,0.163,0.412,-0.049,0.145,0.022,1.179,2.467,1.024,0.966,0.009,0.299,0,3.168,2.62,0.072,0.907
0.025,0.026,0.009,0,0,0.062,1.683,0.304,0.003,0,0.498,0.863,0.974,0.972,0.165,0.409,-0.348,0.148,0.028,1.169,2.39,1.028,0.966,0.009,0.302,0,3.033,2.541,0.07,0.904
0.027,0.029,0.009,0,0,0.064,1.69,0.307,0.003,0,0.503,0.861,0.971,0.969,0.168,0.405,-0.625,0.15,0.032,1.168,2.403,1.022,0.967,0.009,0.305,0,2.985,2.569,0.074,0.897
0.029,0.037,0.009,0,0,0.067,1.696,0.31,0.003,0,0.508,0.859,0.969,0.961,0.171,0.399,-0.859,0.152,0.04,1.18,2.521,1.028,0.966,0.009,0.308,0,3.161,2.709,0.071,0.892
0.031,0.029,0.01,0,0,0.07,1.703,0.313,0.003,0,0.514,0.856,0.966,0.968,0.174,0.39,-0.964,0.155,0.032,1.203,2.68,1.024,0.966,0.01,0.31,0,3.387,2.882,0.076,0.895
0.033,0.03,0.01,0,0,0.072,1.71,0.316,0.003,0,0.519,0.854,0.964,0.968,0.176,0.38,-1.065,0.157,0.033,1.205,2.726,1.022,0.966,0.01,0.313,0,3.494,2.93,0.074,0.896
0.035,0.036,0.01,0,0,0.075,1.717,0.319,0.003,0,0.523,0.853,0.962,0.961,0.178,0.368,-1.183,0.159,0.039,1.199,2.633,1.024,0.966,0.01,0.316,0,3.418,2.837,0.073,0.891
0.037,0.036,0.011,0,0,0.078,1.724,0.322,0.003,0,0.528,0.851,0.96,0.961,0.181,0.355,-1.289,0.162,0.04,1.185,2.497,1.036,0.967,0.011,0.319,0,3.204,2.676,0.069,0.895
0.039,0.038,0.011,0,0,0.08,1.731,0.324,0.003,0,0.532,0.849,0.958,0.959,0.183,0.341,-1.399,0.164,0.042,1.182,2.464,1.024,0.966,0.011,0.322,0,3.108,2.657,0.076,0.886
0.041,0.039,0.011,0,0,0.083,1.739,0.327,0.003,0,0.537,0.847,0.956,0.958,0.186,0.326,-1.522,0.166,0.043,1.191,2.522,1.026,0.966,0.011,0.325,0,3.161,2.725,0.077,0.884
0.042,0.046,0.012,0,0,0.086,1.746,0.33,0.003,0,0.541,0.845,0.954,0.95,0.188,0.31,-1.671,0.168,0.051,1.202,2.619,1.027,0.966,0.012,0.328,0,3.306,2.85,0.077,0.877
0.044,0.041,0.012,0,0,0.089,1.753,0.333,0.003,0,0.546,0.844,0.952,0.955,0.191,0.293,-1.803,0.17,0.046,1.223,2.771,1.028,0.966,0.012,0.331,0,3.511,3.015,0.078,0.881
